Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
45,BRK,2014-02-01,34,27,15,@,IND,L 96-97,240,15,15,7,15,28,17,7,5,23,20,240,34,77,0.442,27,54,0.5,7,23,0.304,21,23,0.913,96,31,73,0.425,28,58,0.483,3,15,0.2,32,37,0.865,97,240,6,21,27,12,34,46
46,BRK,2014-02-03,32,30,25,,PHI,W 108-102,240,25,15,6,13,24,20,4,3,25,28,240,32,72,0.444,22,47,0.468,10,25,0.4,34,39,0.872,108,37,71,0.521,29,51,0.569,8,20,0.4,20,28,0.714,102,240,5,25,30,8,30,38
47,BRK,2014-02-06,46,53,29,,SAS,W 103-89,240,29,7,4,14,24,14,8,7,17,12,240,46,93,0.495,42,80,0.525,4,13,0.308,7,10,0.7,103,29,73,0.397,22,52,0.423,7,21,0.333,24,29,0.828,89,240,16,37,53,8,30,38
48,BRK,2014-02-07,32,40,17,@,DET,L 95-111,240,17,14,3,12,19,26,10,9,22,19,240,32,89,0.36,20,58,0.345,12,31,0.387,19,29,0.655,95,43,84,0.512,34,67,0.507,9,17,0.529,16,24,0.667,111,240,16,24,40,15,42,57
49,BRK,2014-02-09,35,45,20,,NOP,W 93-81,240,20,10,6,22,24,20,15,2,14,25,240,35,66,0.53,29,38,0.763,6,28,0.214,17,29,0.586,93,30,83,0.361,24,65,0.369,6,18,0.333,15,27,0.556,81,240,7,38,45,16,26,42
50,BRK,2014-02-12,40,42,23,,CHA,W 105-89,240,23,3,4,9,18,17,4,4,10,15,240,40,80,0.5,27,49,0.551,13,31,0.419,12,15,0.8,105,36,87,0.414,26,60,0.433,10,27,0.37,7,15,0.467,89,240,5,37,42,11,32,43
51,BRK,2014-02-13,26,27,12,@,CHI,L 76-92,240,12,8,5,15,21,26,7,8,15,23,240,26,67,0.388,21,50,0.42,5,17,0.294,19,28,0.679,76,35,70,0.5,31,56,0.554,4,14,0.286,18,21,0.857,92,240,4,23,27,9,36,45
52,BRK,2014-02-19,41,33,25,@,UTA,W 105-99,240,25,9,4,6,16,20,2,1,18,16,240,41,82,0.5,32,59,0.542,9,23,0.391,14,20,0.7,105,37,82,0.451,28,58,0.483,9,24,0.375,16,17,0.941,99,240,5,28,33,13,33,46
53,BRK,2014-02-22,32,39,11,@,GSW,L 86-93,240,11,5,2,16,14,26,12,4,10,22,240,32,78,0.41,30,57,0.526,2,21,0.095,20,24,0.833,86,37,85,0.435,31,65,0.477,6,20,0.3,13,17,0.765,93,240,7,32,39,12,38,50
54,BRK,2014-02-23,36,41,28,@,LAL,W 108-102,240,28,13,2,18,20,17,11,5,17,24,240,36,76,0.474,24,51,0.471,12,25,0.48,24,32,0.75,108,39,76,0.513,32,59,0.542,7,17,0.412,17,26,0.654,102,240,12,29,41,10,27,37
55,BRK,2014-02-26,32,29,18,@,POR,L 80-124,240,18,8,1,12,18,29,6,6,11,15,240,32,81,0.395,28,59,0.475,4,22,0.182,12,17,0.706,80,46,86,0.535,33,55,0.6,13,31,0.419,19,21,0.905,124,240,7,22,29,13,40,53
56,BRK,2014-02-27,39,43,21,@,DEN,W 112-89,240,21,12,5,15,25,14,6,6,24,22,240,39,82,0.476,29,51,0.569,10,31,0.323,24,29,0.828,112,30,81,0.37,24,59,0.407,6,22,0.273,23,33,0.697,89,240,8,35,43,15,31,46
